"Asset","SourceBytes","SourceSHA256","OutputSHA256","Match"
"ch003.png","5645","02AC85F7A6DD90A486ED4126CC1CE80D482F6D9D17C02AD42DBAAC1C80B479DB","02AC85F7A6DD90A486ED4126CC1CE80D482F6D9D17C02AD42DBAAC1C80B479DB","True"
"CREDITS.md","2362","0BB09AA5405A3294E0C56F84E764009EDF6F737719BFD42ADD792B41BFD17786","0BB09AA5405A3294E0C56F84E764009EDF6F737719BFD42ADD792B41BFD17786","True"
"Kenney-TinyTown-License.txt","567","C483C167CC3BDFE17C15F957FF847D409F64D81B410B28783636CF3B2B7814C5","C483C167CC3BDFE17C15F957FF847D409F64D81B410B28783636CF3B2B7814C5","True"
"tiny-town.png","5042","3A54D99ECDE790D4FDEA207A3644CF130FC56FA838F1BEB1507C185A95B8E902","3A54D99ECDE790D4FDEA207A3644CF130FC56FA838F1BEB1507C185A95B8E902","True"
