"Asset","SourceSHA256","OutputSHA256","Match"
"tiny-town.png","3A54D99ECDE790D4FDEA207A3644CF130FC56FA838F1BEB1507C185A95B8E902","3A54D99ECDE790D4FDEA207A3644CF130FC56FA838F1BEB1507C185A95B8E902","True"
"villager.png","494764F33465BC1675E76B82CE77C59622334FC3402CEE2C2C54F244CD7CB92C","494764F33465BC1675E76B82CE77C59622334FC3402CEE2C2C54F244CD7CB92C","True"
"Kenney-TinyTown-License.txt","C483C167CC3BDFE17C15F957FF847D409F64D81B410B28783636CF3B2B7814C5","C483C167CC3BDFE17C15F957FF847D409F64D81B410B28783636CF3B2B7814C5","True"
"CREDITS.md","8E3426E14663CD4486E2F480A9C08B425655C0600E6042F80D257AE8082600A5","8E3426E14663CD4486E2F480A9C08B425655C0600E6042F80D257AE8082600A5","True"
